PHY_Long_LDEV_13-1.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","00:2A:B9","00:3A:9D","00:3A:9E","00:3A:9F","00:3A:A0","00:4A:1E","00:4A:1F","00:4A:20","00:5D:01","00:5D:02","00:5D:03","00:5D:04","00:5D:05","00:5D:06","00:FE:21","00:FE:42"
"1","2014/03/03 01:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
"2","2014/03/03 01:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6
"3","2014/03/03 01:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
"4","2014/03/03 02:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
"5","2014/03/03 02:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
"6","2014/03/03 02:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
"7","2014/03/03 02:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
"8","2014/03/03 03:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
"9","2014/03/03 03:15",0,0,0,0,0,0,0,0,0,0,16,0,0,0,6,3
"10","2014/03/03 03:30",0,0,0,0,0,0,0,0,0,0,36,0,1,0,2,3
"11","2014/03/03 03:45",0,0,0,0,0,0,0,0,13,0,5,1,0,0,3,2
"12","2014/03/03 04:00",0,0,0,0,0,0,0,0,21,0,0,0,0,0,2,2
"13","2014/03/03 04:15",0,0,0,0,0,0,0,0,5,0,2,18,0,0,7,6
"14","2014/03/03 04:30",0,0,0,0,0,0,0,0,6,0,7,3,0,0,2,3
"15","2014/03/03 04:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"16","2014/03/03 05:00",0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1
"17","2014/03/03 05:15",0,0,0,0,0,0,0,0,2,0,14,0,0,0,12,6
"18","2014/03/03 05:30",0,0,0,0,0,0,0,0,6,0,0,3,4,0,9,5
"19","2014/03/03 05:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
"20","2014/03/03 06:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8
"21","2014/03/03 06:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16
"22","2014/03/03 06:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22
"23","2014/03/03 06:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25
"24","2014/03/03 07:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,27
"25","2014/03/03 07:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,30
"26","2014/03/03 07:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,31
"27","2014/03/03 07:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,28
"28","2014/03/03 08:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,24
"29","2014/03/03 08:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,26
"30","2014/03/03 08:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,19
"31","2014/03/03 08:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11
"32","2014/03/03 09:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9
"33","2014/03/03 09:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14
"34","2014/03/03 09:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9
"35","2014/03/03 09:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7
"36","2014/03/03 10:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7
"37","2014/03/03 10:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10
"38","2014/03/03 10:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
"39","2014/03/03 10:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
"40","2014/03/03 11:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
"41","2014/03/03 11:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11
"42","2014/03/03 11:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11
"43","2014/03/03 11:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
"44","2014/03/03 12:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
"45","2014/03/03 12:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
"46","2014/03/03 12:30",0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,5
"47","2014/03/03 12:45",0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4
"48","2014/03/03 13:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
"49","2014/03/03 13:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6
"50","2014/03/03 13:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"51","2014/03/03 13:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"52","2014/03/03 14:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
"53","2014/03/03 14:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
"54","2014/03/03 14:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
"55","2014/03/03 14:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
"56","2014/03/03 15:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
"57","2014/03/03 15:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
"58","2014/03/03 15:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
"59","2014/03/03 15:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
"60","2014/03/03 16:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
"61","2014/03/03 16:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
"62","2014/03/03 16:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
"63","2014/03/03 16:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
"64","2014/03/03 17:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11
"65","2014/03/03 17:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7
"66","2014/03/03 17:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10
"67","2014/03/03 17:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9
"68","2014/03/03 18:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
"69","2014/03/03 18:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
"70","2014/03/03 18:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
"71","2014/03/03 18:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"72","2014/03/03 19:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
"73","2014/03/03 19:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
"74","2014/03/03 19:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
"75","2014/03/03 19:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
"76","2014/03/03 20:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
"77","2014/03/03 20:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
"78","2014/03/03 20:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"79","2014/03/03 20:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"80","2014/03/03 21:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"81","2014/03/03 21:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
"82","2014/03/03 21:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"83","2014/03/03 21:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"84","2014/03/03 22:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"85","2014/03/03 22:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
"86","2014/03/03 22:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
"87","2014/03/03 22:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
"88","2014/03/03 23:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
"89","2014/03/03 23:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
"90","2014/03/03 23:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
"91","2014/03/03 23:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
"92","2014/03/04 00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
"93","2014/03/04 00:15",0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,10
"94","2014/03/04 00:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
"95","2014/03/04 00:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8
"96","2014/03/04 01:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7
"97","2014/03/04 01:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9
"98","2014/03/04 01:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
"99","2014/03/04 01:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9
"100","2014/03/04 02:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10
"101","2014/03/04 02:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11
"102","2014/03/04 02:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
"103","2014/03/04 02:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6
"104","2014/03/04 03:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
"105","2014/03/04 03:15",0,0,0,0,0,0,0,0,17,3,0,0,0,0,8,5
"106","2014/03/04 03:30",0,0,0,0,0,0,1,1,0,38,0,0,2,0,5,5
"107","2014/03/04 03:45",0,0,0,0,0,0,1,1,0,18,0,0,0,0,5,3
"108","2014/03/04 04:00",0,0,0,0,0,0,0,0,19,2,0,0,0,0,7,5
"109","2014/03/04 04:15",0,0,0,0,0,0,0,0,19,4,0,0,0,0,10,6
"110","2014/03/04 04:30",0,0,0,0,0,0,0,0,8,7,0,5,0,0,6,4
"111","2014/03/04 04:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"112","2014/03/04 05:00",0,0,0,0,0,0,0,0,2,9,0,0,0,0,4,2
"113","2014/03/04 05:15",0,0,0,0,0,0,0,0,14,3,0,1,0,0,18,8
"114","2014/03/04 05:30",0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,8
"115","2014/03/04 05:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9
"116","2014/03/04 06:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8
"117","2014/03/04 06:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16
"118","2014/03/04 06:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20
"119","2014/03/04 06:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17
"120","2014/03/04 07:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15
"121","2014/03/04 07:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19
