LDEV_Seq_Write_Hit_X539-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:FF X"
"1","2014/04/01 17:28",0
"2","2014/04/01 17:33",90
"3","2014/04/01 17:38",50
"4","2014/04/01 17:43",57
"5","2014/04/01 17:48",20
"6","2014/04/01 17:53",76
"7","2014/04/01 17:58",100
"8","2014/04/01 18:03",60
"9","2014/04/01 18:08",30
"10","2014/04/01 18:13",83
"11","2014/04/01 18:18",65
"12","2014/04/01 18:23",43
"13","2014/04/01 18:28",0
"14","2014/04/01 18:33",28
"15","2014/04/01 18:38",100
"16","2014/04/01 18:43",83
"17","2014/04/01 18:48",100
"18","2014/04/01 18:53",44
"19","2014/04/01 18:58",63
"20","2014/04/01 19:03",44
"21","2014/04/01 19:08",0
"22","2014/04/01 19:13",76
"23","2014/04/01 19:18",0
"24","2014/04/01 19:23",0
"25","2014/04/01 19:28",33
"26","2014/04/01 19:33",88
"27","2014/04/01 19:38",71
"28","2014/04/01 19:43",100
"29","2014/04/01 19:48",0
"30","2014/04/01 19:53",66
"31","2014/04/01 19:58",0
"32","2014/04/01 20:03",53
"33","2014/04/01 20:08",71
"34","2014/04/01 20:13",66
"35","2014/04/01 20:18",62
"36","2014/04/01 20:23",0
"37","2014/04/01 20:28",0
"38","2014/04/01 20:33",0
"39","2014/04/01 20:38",0
"40","2014/04/01 20:43",60
"41","2014/04/01 20:48",27
"42","2014/04/01 20:53",61
"43","2014/04/01 20:58",66
"44","2014/04/01 21:03",68
"45","2014/04/01 21:08",100
"46","2014/04/01 21:13",0
"47","2014/04/01 21:18",0
"48","2014/04/01 21:23",16
"49","2014/04/01 21:28",60
"50","2014/04/01 21:33",60
"51","2014/04/01 21:38",46
"52","2014/04/01 21:43",73
"53","2014/04/01 21:48",33
"54","2014/04/01 21:53",100
"55","2014/04/01 21:58",25
"56","2014/04/01 22:03",37
"57","2014/04/01 22:08",33
"58","2014/04/01 22:13",0
"59","2014/04/01 22:18",68
"60","2014/04/01 22:23",100
"61","2014/04/01 22:28",0
"62","2014/04/01 22:33",0
"63","2014/04/01 22:38",33
"64","2014/04/01 22:43",0
"65","2014/04/01 22:48",0
"66","2014/04/01 22:53",100
"67","2014/04/01 22:58",0
"68","2014/04/01 23:03",64
"69","2014/04/01 23:08",100
"70","2014/04/01 23:13",0
"71","2014/04/01 23:18",0
"72","2014/04/01 23:23",0
"73","2014/04/01 23:28",0
"74","2014/04/01 23:33",50
"75","2014/04/01 23:38",0
"76","2014/04/01 23:43",0
"77","2014/04/01 23:48",0
"78","2014/04/01 23:53",0
"79","2014/04/01 23:58",0
"80","2014/04/02 00:03",43
"81","2014/04/02 00:08",50
"82","2014/04/02 00:13",50
"83","2014/04/02 00:18",100
"84","2014/04/02 00:23",0
"85","2014/04/02 00:28",0
"86","2014/04/02 00:33",0
"87","2014/04/02 00:38",0
"88","2014/04/02 00:43",60
"89","2014/04/02 00:48",0
"90","2014/04/02 00:53",0
"91","2014/04/02 00:58",60
"92","2014/04/02 01:03",0
"93","2014/04/02 01:08",0
"94","2014/04/02 01:13",50
"95","2014/04/02 01:18",0
"96","2014/04/02 01:23",50
